上「,あの
置,いたこの
いたこの,金
金,を
を,、
、,横取
横取,りされたと
りされたと,知
知,ったら
ったら,、
、,彼奴
彼奴,、
、,あの
あの,悪事
悪事,にかけては
にかけては,天才
天才,といってもよい
といってもよい,所
所,の
の,彼奴
彼奴,が
が,、
、,見逃
見逃,して
して,置
置,こう
こう,筈
筈,がない
がない,——
——,松村
松村,は
は,寧
寧,ろ
ろ,泥坊
泥坊,を
を,畏敬
畏敬,（
（,いけい
いけい,）
）,している
している,口調
口調,であった
であった,——
——,このまま
このまま,黙
黙,って
って,居
居,ってさえ
ってさえ,危
危,いのに
いのに,、
、,これを
これを,持主
持主,に
に,届
届,けて
けて,、
、,懸賞金
懸賞金,を
を,貰
貰,いなどしようものなら
いなどしようものなら,、
、,直
直,ぐ
ぐ,松村武
松村武,の
の,名
名,が
が,新聞
新聞,に
に,出
出,る
る,。
。,それは
それは,、
、,態
態,々（
々（,わざわざ
わざわざ,）
）,彼奴
彼奴,に
に,敵
敵,のありかを
のありかを,教
教,える
える,様
様,なものではないかというのである
なものではないかというのである,。「
。「,だが
だが,少
少,くとも
くとも,現在
現在,に
に,於
於,（
（,おい
おい,）
）,ては
ては,、
、,俺
俺,は
は,彼奴
彼奴,に
に,打勝
打勝,ったのだ
ったのだ,。
。,エ
エ,ヽ
ヽ,君
君,、
、,あの
あの,天才泥坊
天才泥坊,に
に,打勝
打勝,ったのだ
ったのだ,。
。,この
この,際
際,、
、,五万円
五万円,も
も,無論有難
無論有難,いが
いが,、
、,それよりも
それよりも,、
、,俺
俺,はこの
はこの,勝利
勝利,の
の,快感
快感,でたまらないんだ
でたまらないんだ,。
。,俺
俺,の
の,頭
頭,はいい
はいい,。
。,少
少,くとも
くとも,貴公
貴公,よりはいいということを
よりはいいということを,認
認,めて
めて,呉
呉,れ
れ,。
。,俺
俺,をこの
をこの,大発見
大発見,に
に,導
導,いて
いて,呉
呉,れたものは
れたものは,、
、,昨日君
昨日君,が
が,俺
俺,の
の,机
机,の
の,上
上,にのせて
にのせて,置
置,いた
いた,、
、,煙草
煙草,のつり
のつり,銭
銭,の
の,二銭銅貨
二銭銅貨,なんだ
なんだ,。
。,あの
あの,二銭銅貨
二銭銅貨,の
の,一寸
一寸,した
した,点
点,について
について,、
、,君
君,が
が,気
気,づかないで
づかないで,、
、,俺
俺,が
が,気
気,づいたということはだ
づいたということはだ,。
。,そして
そして,、
、,たった
たった,一枚
一枚,の
の,二銭銅貨
二銭銅貨,から
から,、
、,五万円
五万円,という
という,金
金,を
を,、
、,エ
エ,、
、,君
君,、
、,二銭
二銭,の
の,二百五十万倍
二百五十万倍,である
である,所
所,の
の,五万円
五万円,という
という,金
金,を
を,探
探,し
し,出
出,したのは
したのは,、
、,これは
これは,何
何,だ
だ,。
。,少
少,くとも
くとも,、
、,君
君,の
の,頭
頭,よりは
よりは,、
、,俺
俺,の
の,頭
頭,の
の,方
方,が
が,優
優,れているということじゃないかね
れているということじゃないかね,」
」,二人
二人,の
の,多少知識的
多少知識的,な
な,青年
青年,が
が,、
、,一間
一間,の
の,内
内,に
に,生活
生活,していれば
していれば,、
、,其処
其処,（
（,そこ
そこ,）
）,に
に,、
、,頭
頭,のよさについての
のよさについての,競争
競争,が
が,行
行,われるのは
われるのは,、
、,至極
至極,（
（,しごく
しごく,）
）,あたり
あたり,前
前,のことであった
のことであった,。
。,松村武
松村武,と
と,私
私,とは
とは,、
、,その
その,日頃
日頃,、
、,暇
暇,にまかせて
にまかせて,、
、,よく
よく,議論
議論,を
を,戦
戦,わしたものであった
わしたものであった,。
。,夢中
夢中,になって
になって,喋
喋,っている
っている,内
内,に
に,、
、,いつの
いつの,間
間,にか
にか,夜
夜,が
が,明
明,けて
けて,了
了,う
う,様
様,なことも
なことも,珍
珍,しくなかった
しくなかった,。
。,そして
そして,、
、,松村
松村,も
も,私
私,も
も,、
、,互
互,（
（,たがい
たがい,）
）,に
に,譲
譲,らず
らず,、「
、「,俺
俺,の
の,方
方,が
が,頭
頭,がいい
がいい,」
」,ことを
ことを,主張
主張,していたものである
していたものである,。
。,そこで
そこで,、
、,松村
松村,がこの
がこの,手柄
手柄,——
——,それは
それは,如何
如何,にも
にも,大
大,きな
きな,手柄
手柄,であった
であった,——
——,を
を,以
以,て
て,、
、,我
我,々
々,の
の,頭
頭,の
の,優劣
優劣,を
を,証拠立
証拠立,てようとした
てようとした,訳
訳,である
である,。「
。「,分
分,った
った,、
、,分
分,った
った,。
。,威張
威張,（
（,いば
いば,）
）,るのは
るのは,抜
抜,きにして
きにして,、
、,どうしてその
どうしてその,金
金,を
を,手
手,に
に,入
入,れたか
れたか,、
、,その
その,筋道
筋道,を
を,話
話,して
して,見
見,ろ
ろ,」「
」「,マア
マア,急
急,（
（,せ
せ,）
）,くな
くな,。
。,俺
俺,は
は,、
、,そんなことよりも
そんなことよりも,、
、,五万円
五万円,の
の,使途
使途,（
（,つかいみち
つかいみち,）
）,について
について,考
考,えたいと
えたいと,思
思,っているんだ
っているんだ,。
。,だが
だが,、
、,君
君,の
の,好奇心
好奇心,を
を,充
充,（
（,みた
みた,）
）,す
す,為
為,（
（,ため
ため,）
）,に
に,、
、,一寸
一寸,、
、,簡単
簡単,に
に,苦心談
苦心談,をやるかな
をやるかな,」
」,併
併,し
し,、
、,それは
それは,決
決,して
して,私
私,の
の,好奇心
好奇心,を
を,充
充,す
す,為
為,ばかりではなくて
ばかりではなくて,、
、,寧
寧,ろ
ろ,彼自身
彼自身,の
の,名誉心
名誉心,を
を,満足
満足,させる
させる,為
為,であったことはいうまでもない
であったことはいうまでもない,。
。,それは
それは,兎
兎,（
（,と
と,）
）,も
も,角
角,（
（,かく
かく,）、
）、,彼
彼,は
は,次
次,の
の,様
様,に
に,、
、,所謂苦心談
所謂苦心談,を
を,語
語,り
り,出
出,したのである
したのである,。
。,私
私,は
は,、
、,それを
それを,、
、,心安
心安,（
（,こころやす
こころやす,）
）,だてに
だてに,、
、,蒲団
蒲団,の
の,中
中,から
から,、
、,得意
得意,そうに
そうに,動
動,く
く,彼
彼,の
の,顎
顎,（
（,あご
あご,）
）,の
の,辺
辺,を
を,見上
見上,げて
げて,、
、,聞
聞,いていた
いていた,。「
。「,俺
俺,は
は,、
、,昨日君
昨日君,が
が,湯
湯,へ
へ,行
行,った
った,後
後,で
で,、
、,あの
あの,二銭銅貨
二銭銅貨,を
を,弄
弄,（
（,もてあそ
もてあそ,）
）,んでいる
んでいる,内
内,に
に,、
、,妙
妙,なことには
なことには,、
、,銅貨
銅貨,のまわりに
のまわりに,一本
一本,の
の,筋
筋,がついているのを
がついているのを,発見
発見,したんだ
したんだ,。
。,こいつはおかしいと
こいつはおかしいと,思
思,って
って,、
、,調
調,べて
べて,居
居,ると
ると,、
、,なんと
なんと,驚
驚,いたことには
いたことには,、
、,あの
あの,銅貨
銅貨,が
が,二
二,つに
つに,割
割,れたんだ
れたんだ,。
。,見給
見給,えこれだ
えこれだ,」
」,彼
彼,は
は,、
、,机
机,の
の,抽斗
抽斗,（
（,ひきだし
ひきだし,）
）,から
から,、
、,その
その,二銭銅貨
二銭銅貨,を
を,取出
取出,して
して,、
、,丁度
丁度,、
、,宝丹
宝丹,の
の,容器
容器,を
を,開
開,ける
ける,様
様,に
に,、
、,ネジ
ネジ,を
を,廻
廻,しながら
しながら,、
、,上下
上下,に
に,開
開,いた
いた,。「
。「,これ
これ,、
、,ね
ね,、
、,中
中,が
が,空虚
空虚,（
（,から
から,）
）,になっている
になっている,。
。,銅貨
銅貨,で
で,作
作,った
った,何
何,かの
かの,容器
容器,なんだ
なんだ,。
。,なんと
なんと,精巧
精巧,な
な,細工
細工,じゃないか
じゃないか,、
、,一寸見
一寸見,たんじゃ
たんじゃ,、
、,普通
普通,の
の,二銭銅貨
二銭銅貨,とちっとも
とちっとも,変
変,りがないからね
りがないからね,。
。,これを
これを,見
見,て
て,、
、,俺
俺,は
は,思当
思当,ったことがあるんだ
ったことがあるんだ,。
。,俺
俺,はいつか
はいつか,、
、,牢破
牢破,りの
りの,名人
名人,が
が,用
用,いるという
いるという,、
、,鋸
鋸,（
（,のこぎり
のこぎり,）
）,の
の,話
話,を
を,聞
聞,いたことがある
いたことがある,。
。,それは
それは,、
、,懐中時計
懐中時計,の
の,ゼンマイ
ゼンマイ,に
に,歯
歯,をつけた
をつけた,、
、,小人島
小人島,の
の,帯鋸
帯鋸,（
（,おびのこぎり
おびのこぎり,）
）,見
見,た
た,様
様,なものを
なものを,、
、,二枚
二枚,の
の,銅貨
銅貨,を
を,擦
擦,り
り,減
減,らして
らして,作
作,った
った,容器
容器,の
の,中
中,へ
へ,入
入,れたもので
れたもので,、
、,これさえあれば
これさえあれば,、
、,どんな
どんな,厳重
厳重,な
な,牢屋
牢屋,の
の,鉄
鉄,の
の,棒
棒,でも
でも,、
、,何
何,なく
なく,切破
切破,って
って,脱牢
脱牢,するんだ
するんだ,相
相,だ
だ,。
。,なんでも
なんでも,元
元,は
は,外国
外国,の
の,泥坊
泥坊,から
から,伝
伝,ったものだ
ったものだ,相
相,だがね
だがね,。
。,そこで
そこで,、
、,俺
俺,は
は,、
、,この
この,二銭銅貨
二銭銅貨,も
も,、
、,そうした
そうした,泥坊
泥坊,の
の,手
手,から
から,、
、,どうかして
どうかして,紛
紛,れ
れ,出
出,したものだろうと
したものだろうと,想像
想像,したんだ
したんだ,。
。,だが
だが,、
、,妙
妙,なことはそればかりじゃなかった
なことはそればかりじゃなかった,。
。,というのは
というのは,、
、,俺
俺,の
の,好奇心
好奇心,を
を,、
、,二銭銅貨
二銭銅貨,そのものよりも
そのものよりも,、
、,もっと
もっと,挑発
挑発,した
した,所
所,の
の,、
、,一枚
一枚,の
の,紙切
紙切,がその
がその,中
中,から
から,出
出,て
て,来
来,たんだ
たんだ,。
。,それはこれだ
それはこれだ,」
」,それは
それは,、
、,昨夜松村
昨夜松村,が
が,一生懸命
一生懸命,に
に,研究
研究,していた
していた,、
、,あの
あの,薄
薄,い
い,小
小,さな
さな,紙切
紙切,であった
であった,。
。,その
その,二寸四方程
二寸四方程,の
の,薄葉
薄葉,（
（,うすよう
うすよう,）
）,らしい
らしい,日本紙
日本紙,には
には,、
、,細
細,い
い,字
字,で
で,次
次,の
の,様
様,に
に,、
、,訳
訳,の
の,分
分,らぬものが
らぬものが,書
書,きつけてあった
きつけてあった,。
。,陀
陀,、
、,無弥仏
無弥仏,、
、,南無弥仏
南無弥仏,、
、,阿陀仏
阿陀仏,、
、,弥
弥,、
、,無阿弥陀
無阿弥陀,、
、,無陀
無陀,、
、,弥
弥,、
、,無弥陀仏
無弥陀仏,、
、,無陀
無陀,、
、,陀
陀,、
、,南無陀仏
南無陀仏,、
、,南無仏
南無仏,、
、,陀
陀,、
、,無阿弥陀
無阿弥陀,、
、,無陀
無陀,、
、,南仏
南仏,、
、,南陀
南陀,、
、,無弥
無弥,、
、,無阿弥陀仏
無阿弥陀仏,、
、,弥
弥,、
、,南阿陀
南阿陀,、
、,無阿弥
無阿弥,、
、,南陀仏
南陀仏,、
、,南阿弥陀
南阿弥陀,、
、,阿陀
阿陀,、
、,南弥
南弥,、
、,南無弥仏
南無弥仏,、
、,無阿弥陀
無阿弥陀,、
、,南無弥陀
南無弥陀,、
、,南弥
南弥,、
、,南無弥仏
南無弥仏,、
、,無阿弥陀
無阿弥陀,、
、,南無陀
南無陀,、
、,南無阿
南無阿,、
、,阿陀仏
阿陀仏,、
、,無阿弥
無阿弥,、
、,南阿
南阿,、
、,南阿仏
南阿仏,、
、,陀
陀,、
、,南阿陀
南阿陀,、
、,南無
南無,、
、,無弥仏
無弥仏,、
、,南弥仏
南弥仏,、
、,阿弥
阿弥,、
、,弥
弥,、
、,無弥陀仏
無弥陀仏,、
、,無陀
無陀,、
、,南無阿弥陀
南無阿弥陀,、
、,阿陀仏
阿陀仏,、「
、「,この
この,坊主
坊主,の
の,寝言見
寝言見,たようなものは
たようなものは,、
、,なんだと
なんだと,思
思,う
う,。
。,俺
俺,は
は,最初
最初,は
は,、
、,いたずら
いたずら,書
書,きだと
きだと,思
思,った
った,。
。,前非
前非,（
（,ぜんぴ
ぜんぴ,）
）,を
を,悔
悔,いた
いた,泥坊
泥坊,かなんかが
かなんかが,、
、,罪亡
罪亡,ぼしに
ぼしに,南無阿弥陀仏
南無阿弥陀仏,を
を,沢山並
沢山並,べて
べて,書
書,いたのかと
いたのかと,思
思,った
った,。
。,そして
そして,、
、,牢破
牢破,りの
りの,道具
道具,の
の,代
代,りに
りに,銅貨
銅貨,の
の,中
中,へ
へ,入
入,れて
れて,置
置,いたのじゃないかと
いたのじゃないかと,思
思,った
った,。
。,が
が,、
、,それにしては
それにしては,、
、,南無阿弥陀仏
南無阿弥陀仏,と
と,続
続,けて
けて,書
書,いてないのがおかしい
いてないのがおかしい,。
。,陀
陀,とか
とか,、
、,無弥仏
無弥仏,とか
とか,、
、,悉
悉,く
く,南無阿弥陀仏
南無阿弥陀仏,の
の,六字
六字,の
の,範囲内
範囲内,ではあるが
ではあるが,、
、,完全
完全,に
に,書
書,いたのは
いたのは,一
一,つもない
つもない,。
。,一字切
一字切,りの
りの,奴
奴,もあれば
もあれば,、
、,四字五字
四字五字,の
の,奴
奴,もある
もある,。
。,俺
俺,は
は,、
、,こいつはただの
こいつはただの,悪戯
悪戯,（
（,いたずら
いたずら,）
）,書
書,きではないなと
きではないなと,感
感,づいた
づいた,。
。,丁度
丁度,その
その,時
時,、
、,君
君,が
が,湯屋
湯屋,から
から,帰
帰,って
って,来
来,た
た,跫音
跫音,（
（,あしおと
あしおと,）
）,がしたんだ
がしたんだ,。
。,俺
俺,は
は,急
急,いで
いで,、
、,二銭銅貨
二銭銅貨,とその
とその,紙片
紙片,を
を,隠
隠,した
した,。
。,どうして
どうして,隠
隠,したというのか
したというのか,。
。,俺
俺,にもはっきり
にもはっきり,分
分,らないが
らないが,、
、,多分
多分,この
この,秘密
秘密,を
を,独占
独占,したかったのだろう
したかったのだろう,。
。,そして
そして,凡
凡,（
（,すべ
すべ,）
）,てが
てが,明
明,かになってから
かになってから,君
君,に
に,見
見,せて
せて,、
、,自慢
自慢,したかったのだろう
したかったのだろう,。
。,ところが
ところが,、
、,君
君,が
が,梯子段
梯子段,を
を,上
上,っている
っている,間
間,に
に,、
、,俺
俺,の
の,頭
頭,に
に,、
、,ハッ
ハッ,とする
とする,様
様,なすばらしい
なすばらしい,考
考,（
（,かんがえ
かんがえ,）
）,が
が,閃
閃,（
（,ひらめ
ひらめ,）
）,いたんだ
いたんだ,。
。,というのは
というのは,、
、,例
例,の
の,紳士泥坊
紳士泥坊,のことだ
のことだ,。
。,五万円
五万円,の
の,紙幣
紙幣,をどこへ
をどこへ,隠
隠,したのか
したのか,知
知,らないが
らないが,、
、,まさか
まさか,、
、,刑期
刑期,が
が,満
満,るまで
るまで,其儘
其儘,でいようとは
でいようとは,、
、,彼奴
彼奴,だって
だって,考
考,えないだろう
えないだろう,。
。,そこで
そこで,、
、,彼奴
彼奴,には
には,、
、,あの
あの,金
金,を
を,保管
保管,させる
させる,所
所,の
の,、
、,手下乃至
手下乃至,（
（,ないし
ないし,）
）,は
は,相棒
相棒,といった
といった,様
様,なものがあるに
なものがあるに,相違
相違,ない
ない,。
。,今仮
今仮,にだ
にだ,、
、,彼奴
彼奴,が
が,不意
不意,の
の,捕縛
捕縛,の
の,為
為,に
に,、
、,五万円
五万円,の
の,隠
隠,し
し,場所
場所,を
を,相棒
相棒,に
に,知
知,らせる
らせる,暇
暇,がなかったとしたらどうだ
がなかったとしたらどうだ,。
。,彼奴
彼奴,としては
としては,、
、,未決監
未決監,（
（,みけつかん
みけつかん,）
）,に
に,居
居,る
る,間
間,に
に,、
、,何
何,かの
かの,方法
方法,でその
でその,仲間
仲間,に
に,通信
通信,する
する,外
外,はないのだ
はないのだ,。
。,このえたいの
このえたいの,知
知,れない
れない,紙切
紙切,が
が,、
、,若
若,しもその
しもその,通信文
通信文,であったら
であったら,……
……,こういう
こういう,考
考,が
が,俺
俺,の
の,頭
頭,に
に,閃
閃,いたんだ
いたんだ,。
。,無論空想
無論空想,さ
さ,。
。,だが
だが,一寸甘
一寸甘,い
い,空想
空想,だからね
だからね,。
。,そこで
そこで,、
、,君
君,に
に,二銭銅貨
二銭銅貨,の
の,出所
出所,についてあんな
についてあんな,質問
質問,をした
をした,訳
訳,だ
だ,。
。,ところが
ところが,君
君,は
は,、
、,煙草屋
煙草屋,の
の,娘
娘,が
が,監獄
監獄,の
の,差入屋
差入屋,へ
へ,嫁
嫁,いているというではないか
いているというではないか,。
。,未決監
未決監,に
に,居
居,る
る,泥坊
泥坊,が
が,外部
外部,と
と,通信
通信,しようとすれば
しようとすれば,、
、,差入屋
差入屋,を
を,媒介者
媒介者,にするのが
にするのが,最
最,も
も,容易
容易,だ
だ,。
。,そして
そして,、
、,若
若,しその
しその,目論見
目論見,が
が,何
何,かの
かの,都合
都合,で
で,手違
手違,いになったとしたら
いになったとしたら,、
、,その
その,通信
通信,は
は,差入屋
差入屋,の
の,手
手,に
に,残
残,っている
っている,筈
筈,だ
だ,。
。,それが
それが,、
、,その
その,家
家,の
の,女房
女房,によって
によって,親類
親類,の
の,家
家,に
に,運
運,ばれないと
ばれないと,、
、,どうして
どうして,云
云,えよう
えよう,。
。,さあ
さあ,、
、,俺
俺,は
は,夢中
夢中,になって
になって,了
了,った
った,。
。,さて
さて,、
、,若
若,しこの
しこの,紙切
紙切,の
の,無意味
無意味,な
な,文字
文字,が
が,一
一,つの
つの,暗号文
暗号文,であるとしたら
であるとしたら,、
、,それを
それを,解
解,く
く,キイ
キイ,は
は,何
何,だろう
だろう,。
。,俺
俺,はこの
はこの,部屋
部屋,の
の,中
中,を
を,歩
歩,き
き,廻
廻,って
って,考
考,えた
えた,。
。,可也
可也,（
（,かなり
かなり,）
）,難
難,しい
しい,、
、,全部拾
全部拾,って
って,見
見,ても
ても,、
、,南無阿弥陀仏
南無阿弥陀仏,の
の,六字
六字,と
と,読点
読点,だけしかない
だけしかない,。
。,この
この,七
七,つの
つの,記号
記号,を
を,以
以,て
て,、
、,どういう
どういう,文句
文句,が
が,綴
綴,れるだろう
れるだろう,。
。,俺
俺,は
は,暗号文
暗号文,については
については,、
、,以前
以前,に
に,一寸研究
一寸研究,したことがあるんだ
したことがあるんだ,。
。,シャ
シャ,ー
ー,ロック
ロック,・
・,ホ
ホ,ー
ー,ムズ
ムズ,じゃないが
じゃないが,、
、,百六十種位
百六十種位,の
の,暗号
暗号,の
の,書
書,き
き,方
方,は
は,俺
俺,だって
だって,知
知,っているんだ
っているんだ,。（
。（,参照
参照,）
）,で
で,、
、,俺
俺,は
は,、
、,俺
俺,の
の,知
知,っている
っている,限
限,りの
りの,暗号記法
暗号記法,を
を,、
、,一
一,つ
つ,一
一,つ
つ,頭
頭,に
に,浮
浮,べて
べて,見
見,た
た,。
。,そして
そして,、
、,この
この,紙片
紙片,（
（,かみき
かみき,）
）,れの
れの,奴
奴,に
に,似
似,ているのを
ているのを,探
探,した
した,。
。,随分手間取
随分手間取,った
った,。
。,確
確,か
か,、
、,その
その,時君
時君,が
が,飯屋
飯屋,へ
へ,行
行,くことを
くことを,勧
勧,めたっけ
めたっけ,。
。,俺
俺,はそれを
はそれを,断
断,って
って,一生懸命考
一生懸命考,えた
えた,。
。,で
で,、
、,とうとう
とうとう,少
少,しは
しは,似
似,た
た,点
点,があると
があると,思
思,うのを
うのを,二
二,つ
つ,丈
丈,け
け,発見
発見,した
した,。
。,その
その,一
一,つはの
つはの,発明
発明,した
した,暗号法
暗号法,という
という,奴
奴,で
で,、
、,それは
それは,ａ
ａ,と
と,ｂ
ｂ,とのたった
とのたった,二字
二字,の
の,色
色,々
々,な
な,組合
組合,せで
せで,、
、,どんな
どんな,文句
文句,でも
でも,綴
綴,ることが
ることが,出来
出来,るのだ
るのだ,。
。,例
例,えばという
えばという,言葉
言葉,を
を,現
現,す
す,為
為,にはと
にはと,綴
綴,るといった
るといった,調子
調子,のものだ
のものだ,。
。,も
も,一
一,つは
つは,、
、,チャ
チャ,ー
ー,ルス
ルス,一世
一世,の
の,王朝時代
王朝時代,に
に,、
、,政治上
政治上,の
の,秘密文書
秘密文書,に
に,盛
盛,んに
んに,用
用,いられた
いられた,奴
奴,で
で,、
、,アルファベット
アルファベット,の
の,代
代,りに
りに,、
、,一組
一組,の
の,数字
数字,を
を,用
用,いる
いる,方法
方法,だ
だ,。
。,例
例,えば
えば,」
」,松村
松村,は
は,机
机,の
の,隅
隅,に
に,紙片
紙片,れをのべて
れをのべて,、
、,左
左,（
（,さ
さ,）
）,の
の,様
様,なものを
なものを,書
書,いた
いた,。……………………………………………………「
。……………………………………………………「,つまり
つまり,、Ａ
、Ａ,の
の,代
代,りには
りには,一千百十一
一千百十一,を
を,置
置,き
き,、Ｂ
、Ｂ,の
の,代
代,りには
りには,一千百十二
一千百十二,を
を,置
置,くといった
くといった,風
風,のやり
のやり,方
方,だ
だ,。
。,俺
俺,は
は,、
、,この
この,暗号
暗号,も
も,、
、,それらの
それらの,例
例,と
と,同
同,じ
じ,様
様,に
に,、
、,いろは
いろは,四十八字
四十八字,を
を,、
、,南無阿弥陀仏
南無阿弥陀仏,を
を,色
色,々
々,に
に,組合
組合,せて
せて,置換
置換,えたものだろうと
えたものだろうと,想像
想像,した
した,。
。,さて
さて,、
、,こいつを
こいつを,解
解,く
く,方法
方法,だが
だが,、
、,これが
これが,英語
英語,か
か,仏蘭西
仏蘭西,（
（,フランス
フランス,）
）,語
語,か
か,独逸
独逸,（
（,ドイツ
ドイツ,）
）,語
語,なら
なら,、
、,ポオ
ポオ,のにある
のにある,様
様,に
に,ｅ
ｅ,を
を,探
探,しさえすれば
しさえすれば,訳
訳,はないんだが
はないんだが,、
、,困
困,ったことに
ったことに,、
、,こいつは
こいつは,日本語
日本語,に
に,相違
相違,ないんだ
ないんだ,。
。,念
念,の
の,為
為,に
に,一寸
一寸,ポオ
ポオ,式
式,の
の,ディシファリング
ディシファリング,を
を,試
試,みて
みて,見
見,たが
たが,、
、,少
少,しも
しも,解
解,けない
けない,。
。,俺
俺,はここで
はここで,ハタ
ハタ,と
と,行詰
行詰,（
（,ゆきづま
ゆきづま,）
）,って
って,了
了,った
った,。
。,六字
六字,の
の,組合
組合,せ
せ,六字
六字,の
の,組合
組合,せ
せ,、
、,俺
俺,はそれ
はそれ,計
計,（
（,ばか
ばか,）
）,り
り,考
考,えて
えて,又座敷
又座敷,を
を,歩
歩,き
き,廻
廻,った
った,。
。,俺
俺,は
は,六字
六字,という
という,点
点,に
に,何
何,か
か,暗示
暗示,がないかと
がないかと,考
考,えた
えた,。
。,そして
そして,六
六,つの
つの,数
数,で
で,出来
出来,ているものを
ているものを,、
、,思
思,い
い,出
出,せる
せる,丈
丈,け
け,思
思,い
い,出
出,して
して,見
見,た
た,。
。,滅多矢鱈
滅多矢鱈,（
（,めったやたら
めったやたら,）
）,に
に,六
六,という
という,字
字,のつくものを
のつくものを,並
並,べている
べている,内
内,に
に,、
、,ふと
ふと,、
、,講談本
講談本,で
で,覚
覚,えた
えた,所
所,の
の,真田幸村
真田幸村,（
（,さなだゆきむら
さなだゆきむら,）
）,の
の,旗印
旗印,の
の,六連銭
六連銭,（
（,ろくれんせん
ろくれんせん,）
）,を
を,思
思,い
い,浮
浮,べた
べた,。
。,そんなものが
そんなものが,暗号
暗号,に
に,何
何,の
の,関係
関係,もある
もある,筈
筈,はないのだが
はないのだが,、
、,どういう
どういう,訳
訳,か
か,「
「,六連銭
六連銭,」
」,と
と,、
、,口
口,の
の,中
中,で
で,呟
呟,いた
いた,。
。,すると
すると,、
、,するとだ
するとだ,。
。,インスピレ
インスピレ,ー
ー,ション
ション,の
の,様
様,に
に,、
、,俺
俺,の
の,記憶
記憶,から
から,飛
飛,び
び,出
出,したものがある
したものがある,。
。,それは
それは,、
、,六連銭
六連銭,をそのまま
をそのまま,縮小
縮小,した
した,様
様,な
な,形
形,をしている
をしている,、
、,盲人
盲人,の
の,使
使,う
う,点字
点字,であった
であった,。
。,俺
俺,は
は,思
思,わず
わず,、「
、「,うまい
うまい,」
」,と
と,叫
叫,んだよ
んだよ,。
。,だって
だって,、
、,なにしろ
なにしろ,五万円
五万円,の
の,問題
問題,だからなあ
だからなあ,。
。,俺
俺,は
は,点字
点字,について
について,詳
詳,しくは
しくは,知
知,らなかったが
らなかったが,、
、,六
六,つの
つの,点
点,の
の,組合
組合,せということ
せということ,丈
丈,けは
けは,記憶
記憶,していた
していた,。
。,そこで
そこで,、
、,早速按摩
早速按摩,を
を,呼
呼,んで
んで,来
来,て
て,伝授
伝授,に
に,与
与,ったという
ったという,訳
訳,だ
だ,。
。,これが
これが,按摩
按摩,の
の,教
教,えて
えて,呉
呉,れた
れた,点字
点字,のいろはだ
のいろはだ,」
」,そういって
そういって,松村
松村,は
は,、
、,机
机,の
の,抽斗
抽斗,（
（,ひきだし
ひきだし,）
）,から
から,一枚
一枚,の
の,紙片
紙片,を
を,取出
取出,した
した,。
。,それには
それには,、
、,点字
点字,の
の,五十音
五十音,、
、,濁音符
濁音符,、
、,半濁音符
半濁音符,、
、,拗音符
拗音符,、
、,促音符
促音符,、
、,長音符
長音符,、
、,数字
数字,などが
などが,、
、,ズッ
ズッ,と
と,並
並,べて
べて,書
書,いてあった
いてあった,。「
。「,今
今,、
、,南無阿弥陀仏
南無阿弥陀仏,を
を,、
、,左
左,から
から,始
始,めて
めて,、
、,三字
三字,ずつ
ずつ,二行
二行,に
に,並
並,べれば
べれば,、
、,この
この,点字
点字,と
と,同
同,じ
じ,配列
配列,になる
になる,。
。,南無阿弥陀仏
南無阿弥陀仏,の
の,一字
一字,ずつが
ずつが,、
、,点字
点字,の
の,各
各,々
々,の
の,一点
一点,に
に,符合
符合,する
する,訳
訳,だ
だ,。
。,そうすれば
そうすれば,、
、,点字
点字,の
の,ア
ア,は
は,南
南,、
、,イ
イ,は
は,南無
南無,という
という,工合
工合,（
（,ぐあい
ぐあい,）
）,に
に,当嵌
当嵌,（
（,あては
あては,）
）,めることが
めることが,出来
出来,る
る,。
。,この
この,調子
調子,で
で,解
解,けばいいのだ
けばいいのだ,。
。,そこで
そこで,、
、,これは
これは,、
、,俺
俺,が
が,昨夜
昨夜,（
（,ゆうべ
ゆうべ,）
）,この
この,暗号
暗号,を
を,解
解,いた
いた,結果
結果,だがね
だがね,。
。,一番上
一番上,の
の,行
行,が
が,原文
原文,の
の,南無阿弥陀仏
南無阿弥陀仏,を
を,点字
点字,と
と,同
同,じ
じ,配列
配列,にしたもの
にしたもの,、
、,真中
真中,の
の,行
行,がそれに
がそれに,符合
符合,する
する,点字
点字,、
、,そして
そして,一番下
一番下,の
の,行
行,が
が,、
、,それを
それを,飜訳
飜訳,（
（,ほんやく
ほんやく,）
）,したものだ
したものだ,」
」,こういって
こういって,、
、,松村
松村,は
は,又
又,もや
もや,上
上,の
の,様
様,な
な,紙切
紙切,を
を,取出
取出,したのである
したのである,。「
。「,ゴケンチヨ
ゴケンチヨ,ー
ー,シヨ
シヨ,ー
ー,ジキド
ジキド,ー
ー,カラオモチヤノサツヲウケトレウケトリニンノナハダイコクヤシヨ
カラオモチヤノサツヲウケトレウケトリニンノナハダイコクヤシヨ,ー
ー,テン
テン,。
。,つまり
つまり,、
、,五軒町
五軒町,の
の,正直堂
正直堂,から
から,玩具
玩具,の
の,札
札,を
を,受取
受取,れ
れ,、
、,受取人
受取人,の
の,名
名,は
は,大黒屋商店
大黒屋商店,というのだ
というのだ,。
。,意味
意味,はよく
はよく,分
分,る
る,。
。,だが
だが,、
、,何
何,の
の,為
為,に
に,玩具
玩具,の
の,紙幣
紙幣,なんかを
