一,親譲
、,住田
住田,（
（,すみた
すみた,）
）,まで
まで,上等
上等,が
が,五銭
五銭,で
で,下等
下等,が
が,三銭
三銭,だから
だから,、
、,わずか
わずか,二銭違
二銭違,いで
いで,上下
上下,の
の,区別
区別,がつく
がつく,。
。,こういうおれでさえ
こういうおれでさえ,上等
上等,を
を,奮発
奮発,（
（,ふんぱつ
ふんぱつ,）
）,して
して,白切符
白切符,を
を,握
握,（
（,にぎ
にぎ,）
）,ってるんでもわかる
ってるんでもわかる,。
。,もっとも
もっとも,田舎者
田舎者,はけちだから
はけちだから,、
、,たった
たった,二銭
二銭,の
の,出入
出入,でもすこぶる
でもすこぶる,苦
苦,になると
になると,見
見,えて
えて,、
、,大抵
大抵,（
（,たいてい
たいてい,）
）,は
は,下等
下等,へ
へ,乗
乗,る
る,。
。,赤
赤,シャツ
シャツ,のあとから
のあとから,マドンナ
マドンナ,と
と,マドンナ
マドンナ,のお
のお,袋
袋,が
が,上等
上等,へはいり
へはいり,込
込,んだ
んだ,。
。,うらなり
うらなり,君
君,は
は,活版
活版,で
で,押
押,（
（,お
お,）
）,したように
したように,下等
下等,ばかりへ
ばかりへ,乗
乗,る
る,男
男,だ
だ,。
。,先生
先生,、
、,下等
下等,の
の,車室
車室,の
の,入口
入口,へ
へ,立
立,って
って,、
、,何
何,だか
だか,躊躇
躊躇,（
（,ちゅうちょ
ちゅうちょ,）
）,の
の,体
体,（
（,てい
てい,）
）,であったが
であったが,、
、,おれの
おれの,顔
顔,を
を,見
見,るや
るや,否
否,や
や,思
思,いきって
いきって,、
、,飛
飛,び
び,込
込,んでしまった
んでしまった,。
。,おれはこの
おれはこの,時何
時何,となく
となく,気
気,の
の,毒
毒,でたまらなかったから
でたまらなかったから,、
、,うらなり
うらなり,君
君,のあとから
のあとから,、
、,すぐ
すぐ,同
同,じ
じ,車室
車室,へ
へ,乗
乗,り
り,込
込,んだ
んだ,。
。,上等
上等,の
の,切符
切符,で
で,下等
下等,へ
へ,乗
乗,るに
るに,不都合
不都合,はなかろう
はなかろう,。
。,温泉
温泉,へ
へ,着
着,いて
いて,、
、,三階
三階,から
から,、
、,浴衣
浴衣,（
（,ゆかた
ゆかた,）
）,のなりで
のなりで,湯壺
湯壺,（
（,ゆつぼ
ゆつぼ,）
）,へ
へ,下
下,りてみたら
りてみたら,、
、,またうらなり
またうらなり,君
君,に
に,逢
逢,った
った,。
。,おれは
おれは,会議
会議,や
や,何
何,かでいざと
かでいざと,極
極,まると
まると,、
、,咽喉
咽喉,（
（,のど
のど,）
）,が
が,塞
塞,（
（,ふさ
ふさ,）
）,がって
がって,饒舌
饒舌,（
（,しゃべ
しゃべ,）
）,れない
れない,男
男,だが
だが,、
、,平常
平常,（
（,ふだん
ふだん,）
）,は
は,随分
随分,（
（,ずいぶん
ずいぶん,）
）,弁
弁,ずる
ずる,方
方,だから
だから,、
、,いろいろ
いろいろ,湯壺
湯壺,のなかでうらなり
のなかでうらなり,君
君,に
に,話
話,しかけてみた
しかけてみた,。
。,何
何,だか
だか,憐
憐,れぽくってたまらない
れぽくってたまらない,。
。,こんな
こんな,時
時,に
に,一口
一口,でも
でも,先方
先方,の
の,心
心,を
を,慰
慰,（
（,なぐさ
なぐさ,）
）,めてやるのは
めてやるのは,、
、,江戸
江戸,（
（,えど
えど,）
）,っ
っ,子
子,の
の,義務
義務,だと
だと,思
思,ってる
ってる,。
。,ところがあいにくうらなり
ところがあいにくうらなり,君
君,の
の,方
方,では
では,、
、,うまい
うまい,具合
具合,にこっちの
にこっちの,調子
調子,に
に,乗
乗,ってくれない
ってくれない,。
。,何
何,を
を,云
云,っても
っても,、
、,えとかいえとかぎりで
えとかいえとかぎりで,、
、,しかもそのえといえが
しかもそのえといえが,大分面倒
大分面倒,（
（,めんどう
めんどう,）
）,らしいので
らしいので,、
、,しまいにはとうとう
しまいにはとうとう,切
切,り
り,上
上,げて
げて,、
、,こっちからご
こっちからご,免蒙
免蒙,（
（,めんこうむ
めんこうむ,）
）,った
った,。
。,湯
湯,の
の,中
中,では
では,赤
赤,シャツ
シャツ,に
に,逢
逢,わなかった
わなかった,。
。,もっとも
もっとも,風呂
風呂,（
（,ふろ
ふろ,）
）,の
の,数
数,はたくさんあるのだから
はたくさんあるのだから,、
、,同
同,じ
じ,汽車
汽車,で
で,着
着,いても
いても,、
、,同
同,じ
じ,湯壺
湯壺,で
で,逢
逢,うとは
うとは,極
極,まっていない
まっていない,。
。,別段不思議
別段不思議,にも
にも,思
思,わなかった
わなかった,。
。,風呂
風呂,を
を,出
出,てみるといい
てみるといい,月
月,だ
だ,。
。,町内
町内,の
の,両側
両側,に
に,柳
柳,（
（,やなぎ
やなぎ,）
）,が
が,植
植,（
（,うわ
うわ,）
）,って
って,、
、,柳
柳,の
の,枝
枝,（
（,えだ
えだ,）
）,が
が,丸
丸,（
（,ま
ま,）
）,るい
るい,影
影,を
を,往来
往来,の
の,中
中,へ
へ,落
落,（
（,おと
おと,）
）,している
している,。
。,少
少,し
し,散歩
散歩,でもしよう
でもしよう,。
。,北
北,へ
へ,登
登,って
って,町
町,のはずれへ
のはずれへ,出
出,ると
ると,、
、,左
左,に
に,大
大,きな
きな,門
門,があって
があって,、
、,門
門,の
の,突
突,き
き,当
当,りがお
りがお,寺
寺,で
で,、
、,左右
左右,が
が,妓楼
妓楼,（
（,ぎろう
ぎろう,）
）,である
である,。
。,山門
山門,のなかに
のなかに,遊廓
遊廓,（
（,ゆうかく
ゆうかく,）
）,があるなんて
があるなんて,、
、,前代未聞
前代未聞,の
の,現象
現象,だ
だ,。
。,ちょっとはいってみたいが
ちょっとはいってみたいが,、
、,また
また,狸
狸,から
から,会議
会議,の
の,時
時,にやられるかも
にやられるかも,知
知,れないから
れないから,、
、,やめて
やめて,素通
素通,りにした
りにした,。
。,門
門,の
の,並
並,びに
びに,黒
黒,い
い,暖簾
暖簾,（
（,のれん
のれん,）
）,をかけた
をかけた,、
、,小
小,さな
さな,格子窓
格子窓,（
（,こうしまど
こうしまど,）
）,の
の,平屋
平屋,はおれが
はおれが,団子
団子,を
を,食
食,って
って,、
、,しくじった
しくじった,所
所,だ
だ,。
。,丸提灯
丸提灯,（
（,まるぢょうちん
まるぢょうちん,）
）,に
に,汁粉
汁粉,（
（,しるこ
しるこ,）、
）、,お
お,雑煮
雑煮,（
（,ぞうに
ぞうに,）
）,とかいたのがぶらさがって
とかいたのがぶらさがって,、
、,提灯
提灯,の
の,火
火,が
が,、
、,軒端
軒端,（
（,のきば
のきば,）
）,に
に,近
近,い
い,一本
一本,の
の,柳
柳,の
の,幹
幹,を
を,照
照,らしている
らしている,。
。,食
食,いたいなと
いたいなと,思
思,ったが
ったが,我慢
我慢,して
して,通
通,り
り,過
過,ぎた
ぎた,。
。,食
食,いたい
いたい,団子
団子,の
の,食
食,えないのは
えないのは,情
情,ない
ない,。
。,しかし
しかし,自分
自分,の
の,許嫁
許嫁,（
（,いいなずけ
いいなずけ,）
）,が
が,他人
他人,に
に,心
心,を
を,移
移,したのは
したのは,、
、,なお
なお,情
情,ないだろう
ないだろう,。
。,うらなり
うらなり,君
君,の
の,事
事,を
を,思
思,うと
うと,、
、,団子
団子,は
は,愚
愚,（
（,おろ
おろ,）
）,か
か,、
、,三日
三日,ぐらい
ぐらい,断食
断食,（
（,だんじき
だんじき,）
）,しても
しても,不平
不平,はこぼせない
はこぼせない,訳
訳,だ
だ,。
。,本当
本当,に
に,人間
人間,ほどあてにならないものはない
ほどあてにならないものはない,。
。,あの
あの,顔
顔,を
を,見
見,ると
ると,、
、,どうしたって
どうしたって,、
、,そんな
そんな,不人情
不人情,な
な,事
事,をしそうには
をしそうには,思
思,えないんだが
えないんだが,——
——,うつくしい
うつくしい,人
人,が
が,不人情
不人情,で
で,、
、,冬瓜
冬瓜,（
（,とうがん
とうがん,）
）,の
の,水膨
水膨,（
（,みずぶく
みずぶく,）
）,れのような
れのような,古賀
古賀,さんが
さんが,善良
善良,な
な,君子
君子,なのだから
なのだから,、
、,油断
油断,が
が,出来
出来,ない
ない,。
。,淡泊
淡泊,（
（,たんぱく
たんぱく,）
）,だと
だと,思
思,った
った,山嵐
山嵐,は
は,生徒
生徒,を
を,煽動
煽動,（
（,せんどう
せんどう,）
）,したと
したと,云
云,うし
うし,。
。,生徒
生徒,を
を,煽動
煽動,したのかと
したのかと,思
思,うと
うと,、
、,生徒
生徒,の
の,処分
処分,を
を,校長
校長,に
に,逼
逼,（
（,せま
せま,）
）,るし
るし,。
。,厭味
厭味,（
（,いやみ
いやみ,）
）,で
で,練
練,りかためたような
りかためたような,赤
赤,シャツ
シャツ,が
が,存外親切
存外親切,で
で,、
、,おれに
おれに,余所
余所,（
（,よそ
よそ,）
）,ながら
ながら,注意
注意,をしてくれるかと
をしてくれるかと,思
思,うと
うと,、
、,マドンナ
マドンナ,を
を,胡魔化
胡魔化,（
（,ごまか
ごまか,）
）,したり
したり,、
、,胡魔化
胡魔化,したのかと
したのかと,思
思,うと
うと,、
、,古賀
古賀,の
の,方
方,が
が,破談
破談,にならなければ
にならなければ,結婚
結婚,は
は,望
望,まないんだと
まないんだと,云
云,うし
うし,。
。,いか
いか,銀
銀,が
が,難癖
難癖,（
（,なんくせ
なんくせ,）
）,をつけて
をつけて,、
、,おれを
おれを,追
追,い
い,出
出,すかと
すかと,思
思,うと
うと,、
、,すぐ
すぐ,野
野,だ
だ,公
公,が
が,入
入,（
（,い
い,）
）,れ
れ,替
替,（
（,かわ
かわ,）
）,ったり
ったり,——
——,どう
どう,考
考,えてもあてにならない
えてもあてにならない,。
。,こんな
こんな,事
事,を
を,清
清,にかいてやったら
にかいてやったら,定
定,めて
めて,驚
驚,く
く,事
事,だろう
だろう,。
。,箱根
箱根,（
（,はこね
はこね,）
）,の
の,向
向,うだから
うだから,化物
化物,（
（,ばけもの
ばけもの,）
）,が
が,寄
寄,り
り,合
合,ってるんだと
ってるんだと,云
云,うかも
うかも,知
知,れない
れない,。
。,おれは
おれは,、
、,性来
性来,（
（,しょうらい
しょうらい,）
）,構
構,わない
わない,性分
性分,だから
だから,、
、,どんな
どんな,事
事,でも
でも,苦
苦,にしないで
にしないで,今日
今日,まで
まで,凌
凌,いで
いで,来
来,たのだが
たのだが,、
、,ここへ
ここへ,来
来,てからまだ
てからまだ,一
一,ヶ
ヶ,月立
月立,つか
つか,、
、,立
立,たないうちに
たないうちに,、
、,急
急,に
に,世
世,のなかを
のなかを,物騒
物騒,（
（,ぶっそう
ぶっそう,）
）,に
に,思
思,い
い,出
出,した
した,。
。,別段際
別段際,だった
だった,大事件
大事件,にも
にも,出逢
出逢,わないのに
わないのに,、
、,もう
もう,五
五,つ
つ,六
六,つ
つ,年
年,を
を,取
取,ったような
ったような,気
気,がする
がする,。
。,早
早,く
く,切
切,り
り,上
上,げて
げて,東京
東京,へ
へ,帰
帰,るのが
るのが,一番
一番,よかろう
よかろう,。
。,などとそれからそれへ
などとそれからそれへ,考
考,えて
えて,、
、,いつか
いつか,石橋
石橋,を
を,渡
渡,（
（,わた
わた,）
）,って
って,野芹川
野芹川,（
（,のぜりがわ
のぜりがわ,）
）,の
の,堤
堤,（
（,どて
どて,）
）,へ
へ,出
出,た
た,。
。,川
川,と
と,云
云,うとえらそうだが
うとえらそうだが,実
実,は
は,一間
一間,ぐらいな
ぐらいな,、
、,ちょろちょろした
ちょろちょろした,流
流,れで
れで,、
、,土手
土手,に
に,沿
沿,うて
うて,十二丁
十二丁,ほど
ほど,下
下,ると
ると,相生村
相生村,（
（,あいおいむら
あいおいむら,）
）,へ
へ,出
出,る
る,。
。,村
村,には
には,観音様
観音様,（
（,かんのんさま
かんのんさま,）
）,がある
がある,。
。,温泉
温泉,（
（,ゆ
ゆ,）
）,の
の,町
町,を
を,振
振,り
り,返
返,ると
ると,、
、,赤
赤,い
い,灯
灯,が
が,、
、,月
月,の
の,光
光,の
の,中
中,にかがやいている
にかがやいている,。
。,太鼓
太鼓,（
（,たいこ
たいこ,）
）,が
が,鳴
鳴,るのは
るのは,遊廓
遊廓,に
に,相違
相違,ない
ない,。
。,川
川,の
の,流
流,れは
れは,浅
浅,いけれども
いけれども,早
早,いから
いから,、
、,神経質
神経質,の
の,水
水,のようにやたらに
のようにやたらに,光
光,る
る,。
。,ぶらぶら
ぶらぶら,土手
土手,の
の,上
上,をあるきながら
をあるきながら,、
、,約三丁
約三丁,も
も,来
来,たと
たと,思
思,ったら
ったら,、
、,向
向,うに
うに,人影
人影,（
（,ひとかげ
ひとかげ,）
）,が
が,見
見,え
え,出
出,した
した,。
。,月
月,に
に,透
透,（
（,す
す,）
）,かしてみると
かしてみると,影
影,は
は,二
二,つある
つある,。
。,温泉
温泉,（
（,ゆ
ゆ,）
）,へ
へ,来
来,て
て,村
村,へ
へ,帰
帰,る
る,若
若,い
い,衆
衆,（
（,しゅ
しゅ,）
）,かも
かも,知
知,れない
れない,。
。,それにしては
それにしては,唄
唄,（
（,うた
うた,）
）,もうたわない
もうたわない,。
。,存外静
存外静,かだ
かだ,。
。,だんだん
だんだん,歩
歩,いて
いて,行
行,くと
くと,、
、,おれの
おれの,方
方,が
が,早足
早足,だと
だと,見
見,えて
えて,、
、,二
二,つの
つの,影法師
影法師,が
が,、
、,次第
次第,に
に,大
大,きくなる
きくなる,。
。,一人
一人,は
は,女
女,らしい
らしい,。
。,おれの
おれの,足音
足音,を
を,聞
聞,きつけて
きつけて,、
、,十間
十間,ぐらいの
ぐらいの,距離
距離,（
（,きょり
きょり,）
）,に
に,逼
逼,った
った,時
時,、
、,男
男,がたちまち
がたちまち,振
振,り
り,向
向,いた
いた,。
。,月
月,は
は,後
後,（
（,うしろ
うしろ,）
）,からさしている
からさしている,。
。,その
その,時
時,おれは
おれは,男
男,の
の,様子
様子,を
を,見
見,て
て,、
、,はてなと
はてなと,思
思,った
った,。
。,男
男,と
と,女
女,はまた
はまた,元
元,の
の,通
通,りにあるき
りにあるき,出
出,した
した,。
。,おれは
おれは,考
考,えがあるから
えがあるから,、
、,急
急,に
に,全速力
全速力,で
で,追
追,っ
っ,懸
懸,（
（,か
か,）
）,けた
けた,。
。,先方
先方,は
は,何
何,の
の,気
気,もつかずに
もつかずに,最初
最初,の
の,通
通,り
り,、
、,ゆるゆる
ゆるゆる,歩
歩,を
を,移
移,している
している,。
。,今
今,は
は,話
話,し
し,声
声,も
も,手
手,に
に,取
取,るように
るように,聞
聞,える
える,。
。,土手
土手,の
の,幅
幅,は
は,六尺
六尺,ぐらいだから
ぐらいだから,、
、,並
並,んで
んで,行
行,けば
けば,三人
三人,がようやくだ
がようやくだ,。
。,おれは
おれは,苦
苦,もなく
もなく,後
後,ろから
ろから,追
追,い
い,付
付,いて
いて,、
、,男
男,の
の,袖
袖,（
（,そで
そで,）
）,を
を,擦
擦,（
（,す
す,）
）,り
り,抜
抜,（
（,ぬ
ぬ,）
）,けざま
けざま,、
、,二足前
二足前,へ
へ,出
出,した
した,踵
踵,（
（,くびす
くびす,）
）,をぐるりと
をぐるりと,返
返,して
して,男
男,の
の,顔
顔,を
を,覗
覗,（
（,のぞ
のぞ,）
）,き
き,込
込,（
（,こ
こ,）
）,んだ
んだ,。
。,月
月,は
は,正面
正面,からおれの
からおれの,五分刈
五分刈,（
（,がり
がり,）
）,の
の,頭
頭,から
から,顋
顋,の
の,辺
辺,（
（,あた
あた,）
）,りまで
りまで,、
、,会釈
会釈,（
（,えしゃく
えしゃく,）
）,もなく
もなく,照
照,（
（,てら
てら,）
）,す
す,。
。,男
男,はあっと
はあっと,小声
小声,に
に,云
云,ったが
ったが,、
、,急
急,に
に,横
横,を
を,向
向,いて
いて,、
、,もう
もう,帰
帰,ろうと
ろうと,女
女,を
を,促
促,（
（,うな
うな,）
）,がすが
がすが,早
早,いか
いか,、
、,温泉
温泉,（
（,ゆ
ゆ,）
）,の
の,町
町,の
の,方
方,へ
へ,引
引,き
き,返
返,した
した,。
。,赤
赤,シャツ
シャツ,は
は,図太
図太,くて
くて,胡魔化
胡魔化,すつもりか
すつもりか,、
、,気
気,が
が,弱
弱,くて
くて,名乗
名乗,り
り,損
損,（
（,そく
そく,）
）,なったのかしら
なったのかしら,。
。,ところが
ところが,狭
狭,くて
くて,困
困,ってるのは
ってるのは,、
、,おればかりではなかった
おればかりではなかった,。
。,八赤
八赤,シャツ
シャツ,に
に,勧
勧,められて
められて,釣
釣,（
（,つり
つり,）
）,に
に,行
行,った
った,帰
帰,りから
りから,、
、,山嵐
山嵐,（
（,やまあらし
やまあらし,）
）,を
を,疑
疑,ぐり
ぐり,出
出,した
した,。
。,無
無,い
い,事
事,を
を,種
種,に
に,下宿
下宿,を
を,出
出,ろと
ろと,云
云,われた
われた,時
時,は
は,、
、,いよいよ
いよいよ,不埒
不埒,（
（,ふらち
ふらち,）
）,な
な,奴
奴,（
（,やつ
やつ,）
）,だと
だと,思
思,った
った,。
。,ところが
ところが,会議
会議,の
の,席
席,では
では,案
案,に
に,相違
相違,（
（,そうい
そうい,）
）,して
して,滔
滔,々（
々（,とうとう
とうとう,）
）,と
と,生徒厳罰論
生徒厳罰論,（
（,げんばつろん
げんばつろん,）
）,を
を,述
述,べたから
べたから,、
、,おや
おや,変
変,だなと
だなと,首
首,を
を,捩
捩,（
（,ひね
ひね,）
）,った
った,。
。,萩野
萩野,（
（,はぎの
はぎの,）
）,の
の,婆
婆,（
（,ばあ
ばあ,）
）,さんから
さんから,、
、,山嵐
山嵐,が
が,、
、,うらなり
うらなり,君
君,のために
のために,赤
赤,シャツ
シャツ,と
と,談判
談判,をしたと
をしたと,聞
聞,いた
いた,時
時,は
は,、
、,それは
それは,感心
感心,だと
だと,手
手,を
を,拍
拍,（
（,う
う,）
）,った
った,。
。,この
この,様子
様子,ではわる
ではわる,者
者,は
は,山嵐
山嵐,じゃあるまい
じゃあるまい,、
、,赤
赤,シャツ
シャツ,の
の,方
方,が
が,曲
曲,ってるんで
ってるんで,、
、,好加減
好加減,（
（,いいかげん
いいかげん,）
）,な
な,邪推
邪推,（
（,じゃすい
じゃすい,）
）,を
を,実
実,（
（,まこと
まこと,）
）,しやかに
しやかに,、
、,しかも
しかも,遠廻
遠廻,（
（,とおまわ
とおまわ,）
）,しに
しに,、
、,おれの
おれの,頭
頭,の
の,中
中,へ
へ,浸
浸,（
（,し
し,）
）,み
み,込
込,（
（,こ
こ,）
）,ましたのではあるまいかと
ましたのではあるまいかと,迷
迷,ってる
ってる,矢先
矢先,へ
へ,、
、,野芹川
野芹川,（
（,のぜりがわ
のぜりがわ,）
）,の
の,土手
土手,で
で,、
、,マドンナ
マドンナ,を
を,連
連,れて
れて,散歩
散歩,なんかしている
なんかしている,姿
姿,を
を,見
見,たから
たから,、
、,それ
それ,以来赤
以来赤,シャツ
シャツ,は
は,曲者
曲者,（
（,くせもの
くせもの,）
）,だと
だと,極
極,（
（,き
き,）
）,めてしまった
めてしまった,。
。,曲者
曲者,だか
だか,何
何,だかよくは
だかよくは,分
分,（
（,わか
わか,）
）,らないが
らないが,、
、,ともかくも
ともかくも,善
善,（
（,い
い,）
）,い
い,男
男,じゃない
じゃない,。
。,表
表,と
と,裏
裏,とは
とは,違
違,（
（,ちが
ちが,）
）,った
った,男
男,だ
だ,。
。,人間
人間,は
は,竹
竹,のように
のように,真直
真直,（
（,まっすぐ
まっすぐ,）
）,でなくっちゃ
でなくっちゃ,頼
頼,（
（,たの
たの,）
）,もしくない
もしくない,。
。,真直
真直,なものは
なものは,喧嘩
喧嘩,（
（,けんか
けんか,）
）,をしても
をしても,心持
心持,ちがいい
ちがいい,。
。,赤
赤,シャツ
シャツ,のようなやさしいのと
のようなやさしいのと,、
、,親切
親切,なのと
なのと,、
、,高尚
高尚,（
（,こうしょう
こうしょう,）
）,なのと
なのと,、
、,琥珀
琥珀,（
（,こはく
こはく,）
）,の
の,パイプ
パイプ,とを
とを,自慢
自慢,（
（,じまん
じまん,）
）,そうに
そうに,見
見,せびらかすのは
せびらかすのは,油断
油断,が
が,出来
出来,ない
ない,、
、,めったに
めったに,喧嘩
喧嘩,も
も,出来
出来,ないと
ないと,思
思,った
った,。
。,喧嘩
喧嘩,をしても
をしても,、
、,回向院
回向院,（
（,えこういん
えこういん,）
）,の
の,相撲
相撲,（
（,すもう
すもう,）
）,のような
のような,心持
心持,ちのいい
ちのいい,喧嘩
喧嘩,は
は,出来
出来,ないと
ないと,思
思,った
った,。
。,そうなると
そうなると,一銭五厘
一銭五厘,の
の,出入
出入,（
（,でいり
でいり,）
）,で
で,控所
控所,（
（,ひかえじょ
ひかえじょ,）
）,全体
全体,を
を,驚
驚,（
（,おど
おど,）
）,ろかした
ろかした,議論
議論,の
の,相手
相手,の
の,山嵐
山嵐,の
の,方
方,がはるかに
がはるかに,人間
人間,らしい
らしい,。
。,会議
会議,の
の,時
時,に
に,金壺眼
金壺眼,（
（,かなつぼまなこ
かなつぼまなこ,）
）,をぐりつかせて
をぐりつかせて,、
、,おれを
おれを,睨
睨,（
（,にら
にら,）
）,めた
めた,時
時,は
は,憎
憎,（
（,にく
にく,）
）,い
い,奴
奴,だと
だと,思
思,ったが
ったが,、
、,あとで
あとで,考
考,えると
えると,、
、,それも
それも,赤
赤,シャツ
シャツ,のねちねちした
のねちねちした,猫撫声
猫撫声,（
（,ねこなでごえ
ねこなでごえ,）
）,よりはましだ
よりはましだ,。
。,実
実,はあの
はあの,会議
会議,が
が,済
済,んだあとで
んだあとで,、
、,よっぽど
よっぽど,仲直
仲直,りをしようかと
りをしようかと,思
思,って
って,、
、,一
一,こと
こと,二
二,こと
こと,話
話,しかけてみたが
しかけてみたが,、
、,野郎
野郎,（
（,やろう
やろう,）
）,返事
返事,もしないで
もしないで,、
、,まだ
まだ,眼
眼,（
（,め
め,）
）,を
を,剥
剥,（
（,むく
むく,）
）,ってみせたから
ってみせたから,、
、,こっちも
こっちも,腹
腹,が
が,立
立,ってそのままにしておいた
ってそのままにしておいた,。
。,それ
それ,以来山嵐
以来山嵐,はおれと
はおれと,口
口,を
を,利
利,かない
かない,。
。,机
机,の
の,上
上,へ
へ,返
返,した
した,一銭五厘
一銭五厘,はいまだに
はいまだに,机
机,の
の,上
上,に
に,乗
乗,っている
っている,。
。,ほこりだらけになって
ほこりだらけになって,乗
乗,っている
っている,。
。,おれは
おれは,無論手
無論手,が
が,出
出,せない
せない,、
、,山嵐
山嵐,は
は,決
決,して
して,持
持,って
って,帰
帰,らない
らない,。
。,この
この,一銭五厘
一銭五厘,が
が,二人
二人,の
の,間
間,の
の,墻壁
墻壁,（
（,しょうへき
しょうへき,）
）,になって
になって,、
、,おれは
おれは,話
話,そうと
そうと,思
思,っても
っても,話
話,せない
せない,、
、,山嵐
山嵐,は
は,頑
頑,（
（,がん
がん,）
）,として
として,黙
黙,（
（,だま
だま,）
）,ってる
ってる,。
。,おれと
おれと,山嵐
山嵐,には
には,一銭五厘
一銭五厘,が
が,祟
祟,（
（,たた
たた,）
）,った
った,。
。,しまいには
しまいには,学校
学校,へ
へ,出
出,て
て,一銭五厘
一銭五厘,を
を,見
見,るのが
るのが,苦
苦,になった
になった,。
。,山嵐
山嵐,とおれが
とおれが,絶交
絶交,の
の,姿
姿,となったに
となったに,引
引,き
き,易
易,（
（,か
か,）
）,えて
えて,、
、,赤
赤,シャツ
シャツ,とおれは
とおれは,依然
依然,（
（,いぜん
いぜん,）
）,として
として,在来
在来,の
の,関係
関係,を
を,保
保,って
って,、
、,交際
交際,をつづけている
をつづけている,。
。,野芹川
野芹川,で
で,逢
逢,（
（,あ
あ,）
）,った
った,翌日
翌日,などは
などは,、
、,学校
学校,へ
へ,出
出,ると
ると,第一番
第一番,におれの
におれの,傍
傍,（
（,そば
そば,）
）,へ
へ,来
来,て
て,、
、,君今度
君今度,の
の,下宿
下宿,はいいですかのまたいっしょに
はいいですかのまたいっしょに,露西亜
露西亜,（
（,ロシア
ロシア,）
）,文学
文学,を
を,釣
釣,（
（,つ
つ,）
）,りに
りに,行
行,こうじゃないかのといろいろな
こうじゃないかのといろいろな,事
事,を
を,話
話,しかけた
しかけた,。
。,おれは
おれは,少
少,々
々,憎
憎,（
（,にく
にく,）
）,らしかったから
らしかったから,、
、,昨夜
昨夜,（
（,ゆうべ
ゆうべ,）
）,は
は,二返逢
二返逢,いましたねと
いましたねと,云
云,（
（,い
い,）
）,ったら
ったら,、
、,ええ
ええ,停車場
停車場,（
（,ていしゃば
ていしゃば,）
）,で
で,——
——,君
君,はいつでもあの
はいつでもあの,時分出掛
時分出掛,（
（,でか
でか,）
）,けるのですか
けるのですか,、
、,遅
遅,いじゃないかと
いじゃないかと,云
云,う
う,。
。,野芹川
野芹川,の
の,土手
土手,でもお
でもお,目
目,に
に,懸
懸,（
（,かか
かか,）
）,りましたねと
りましたねと,喰
喰,（
（,く
く,）
）,らわしてやったら
らわしてやったら,、
、,いいえ
いいえ,僕
僕,（
（,ぼく
ぼく,）
）,はあっちへは
はあっちへは,行
行,かない
かない,、
、,湯
湯,にはいって
にはいって,、
、,すぐ
すぐ,帰
帰,ったと
ったと,答
答,えた
えた,。
。,何
何,もそんなに
もそんなに,隠
隠,（
（,かく
かく,）
）,さないでもよかろう
さないでもよかろう,、
、,現
現,に
に,逢
逢,ってるんだ
ってるんだ,。
。,よく
よく,嘘
嘘,（
（,うそ
うそ,）
）,をつく
をつく,男
男,だ
だ,。
。,これで
これで,中学
中学,の
の,教頭
教頭,が
が,勤
勤,まるなら
まるなら,、
、,おれなんか
おれなんか,大学総長
大学総長,がつとまる
がつとまる,。
。,おれはこの
おれはこの,時
時,からいよいよ
からいよいよ,赤
赤,シャツ
シャツ,を
を,信用
信用,しなくなった
しなくなった,。
。,信用
信用,しない
しない,赤
赤,シャツ
シャツ,とは
とは,口
口,をきいて
をきいて,、
、,感心
感心,している
している,山嵐
山嵐,とは
とは,話
話,をしない
をしない,。
。,世
世,の
の,中
中,は
は,随分妙
随分妙,（
（,ずいぶんみょう
ずいぶんみょう,）
）,なものだ
なものだ,。
。,ある
ある,日
日,の
の,事赤
事赤,シャツ
シャツ,がちょっと
がちょっと,君
君,に
に,話
話,があるから
があるから,、
、,僕
僕,のうちまで
のうちまで,来
来,てくれと
てくれと,云
云,うから
うから,、
、,惜
惜,（
（,お
お,）
）,しいと
しいと,思
思,ったが
ったが,温泉行
温泉行,きを
きを,欠勤
欠勤,して
して,四時頃
四時頃,（
（,ごろ
ごろ,）
）,出掛
出掛,けて
けて,行
行,った
った,。
。,赤
赤,シャツ
シャツ,は
は,一人
一人,ものだが
ものだが,、
、,教頭
教頭,だけに
だけに,下宿
下宿,はとくの
はとくの,昔
昔,（
（,むかし
むかし,）
）,に
に,引
引,き
き,払
払,（
（,はら
はら,）
）,って
って,立派
立派,な
な,玄関
玄関,（
（,げんかん
げんかん,）
）,を
を,構
構,えている
えている,。
。,家賃
家賃,は
は,九円五拾銭
九円五拾銭,（
（,じっせん
じっせん,）
）,だそうだ
だそうだ,。
。,田舎
田舎,（
（,いなか
いなか,）
）,へ
へ,来
来,て
て,九円五拾銭払
九円五拾銭払,えばこんな
えばこんな,家
家,へはいれるなら
へはいれるなら,、
、,おれも
おれも,一
一,つ
つ,奮発
奮発,（
（,ふんぱつ
ふんぱつ,）
）,して
して,、
、,東京
東京,から
から,清
清,を
を,呼
呼,び
び,寄
寄,せて
せて,喜
喜,ばしてやろうと
ばしてやろうと,思
思,ったくらいな
ったくらいな,玄関
玄関,だ
だ,。
。,頼
頼,むと
むと,云
云,ったら
ったら,、
、,赤
赤,シャツ
シャツ,の
の,弟
弟,が
が,取次
取次,（
（,とりつぎ
とりつぎ,）
）,に
に,出
出,て
て,来
来,た
た,。
。,この
この,弟
弟,は
は,学校
学校,で
で,、
、,おれに
